UPPER-1 (Thân trên),,,,,,
,BP01,Barbell Bench Press,Ngực,Khó,5,5
,BL02,Barbell Row,Lưng - Xô,Khó,4,6
,SP01,Barbell Overhead Press,Vai,Khó,4,4
,SO01,Dumbbell Lateral Raise,Vai,Dễ,3,12
,BC02,Dumbbell Curl,Tay trước,Dễ,3,10
,TC06,Triceps Rope Pushdown,Tay sau,Dễ,3,12
UPPER-2 (Thân trên),,,,,,
,BL04,Dumbbell Row,Lưng - Xô,Khó,4,10
,BP08,Dumbbell Incline Bench Press,Ngực,Dễ,4,10
,SP03,Dumbbell Shoulder Press,Vai,Trung bình,4,10
,RD01,Dumbbell Rear Delt Fly,Vai,Khó,3,10
,BC04,Dumbbell Hammer Curl,Tay trước,Dễ,3,10
,TC06,Triceps Rope Pushdown,Tay sau,Dễ,3,12
UPPER-3 (Thân trên),,,,,,
,BL01,Barbell Conventional Deadlift,Lưng - Xô,Khó,5,5
,BP06,Dumbbell Chest Fly,Ngực,Khó,3,12
,SP05,Dumbbell Arnold Press,Vai,Dễ,4,10
,SO01,Dumbbell Lateral Raise,Vai,Dễ,3,15
,BC01,Barbell Curl,Tay trước,Trung bình,3,15
,TC03,Dumbbell Skull Crusher,Tay sau,Khó,3,15
UPPER-4 (Thân trên),,,,,,
,BP01,Barbell Bench Press,Ngực,Khó,5,5
,BP08,Dumbbell Incline Bench Press,Ngực,Dễ,3,10
,BL09,Lat Pulldown,Lưng - Xô,Dễ,4,10
,SP03,Dumbbell Shoulder Press,Vai,Trung bình,4,8
,BL07,Face Pull,Lưng - Xô,Dễ,3,10
,BC02,Dumbbell Curl,Tay trước,Dễ,3,10
,TC06,Triceps Rope Pushdown,Tay sau,Dễ,3,12
"LOWER-1 (Chân, Đùi, Mông)",,,,,,
,SQ01,Barbell Back Squat,Chân,Khó,5,5
,DL04,Barbell Sumo Deadlift,Chân,Khó,4,10
,LC01,Lying Leg Curl,Chân,Dễ,2,15
,DL02,Dumbbell Romania Deadlift,Chân,Trung bình,3,12
,HT01,Barbell Hip Thrust,Mông,Khó,4,10
"LOWER-2 (Chân, Đùi, Mông)",,,,,,
,DL04,Barbell Sumo Deadlift,Chân,Khó,4,10
,SQ01,Barbell Back Squat,Chân,Khó,4,12
,RP01,Rope Pull Through,Mông,Khó,4,12
,LU02,Dumbbell Lunge,Chân,Dễ,2,20
,LC01,Lying Leg Curl,Chân,Dễ,3,15
"LOWER-3 (Chân, Đùi, Mông)",,,,,,
,SQ01,Barbell Back Squat,Chân,Khó,6,5/3/1/5/3/3
,DL05,Barbell Stiff Leg Deadlift,Chân,Khó,4,6
,LC01,Lying Leg Curl,Chân,Dễ,2,15
,LP01,Leg Press,Chân,Khó,3,15
,LE01,Leg Extension,Chân,Dễ,3,15
"LOWER-4 (Chân, Đùi, Mông)",,,,,,
,SQ01,Barbell Back Squat,Chân,Khó,5,5
,LP01,Leg Press,Chân,Khó,4,12
,LU02,Dumbbell Lunge,Chân,Dễ,3,15
,HT01,Barbell Hip Thrust,Mông,Khó,4,12
,RP01,Rope Pull Through,Mông,Khó,3,12
"PUSH-1 (Ngực, Vai, Tay sau)",,,,,,
,BP01,Barbell Bench Press,Ngực,Khó,5,5
,BP08,Dumbbell Incline Bench Press,Ngực,Dễ,4,10
,SP01,Barbell Overhead Press,Vai,Khó,4,6
,FS03,Cable Front Raise,Vai,Dễ,3,10
,TC06,Triceps Rope Pushdown,Tay sau,Dễ,3,15
,TC05,Tricep Kickback,Tay sau,Dễ,3,15
"PUSH-2 (Ngực, Vai, Tay sau)",,,,,,
,SP01,Barbell Overhead Press,Vai,Khó,5,5
,BP06,Dumbbell Chest Fly,Ngực,Khó,3,15
,BP05,Cable Chest Fly,Ngực,Trung bình,3,12
,RD01,Dumbbell Rear Delt Fly,Vai,Khó,4,10
,TC01,Dumbbell Overhead Tricep Extension,Tay sau,Trung bình,3,15
"PULL-1 (Lưng, Xô, Tay trước)",,,,,,
,BL01,Barbell Conventional Deadlift,Lưng - Xô,Khó,5,5
,BL02,Barbell Row,Lưng - Xô,Khó,4,10
,BL09,Lat Pulldown,Lưng - Xô,Dễ,3,12
,BL13,Machine-assisted Pull-up,Lưng - Xô,Trung bình,3,15
,BL07,Face Pull,Lưng - Xô,Dễ,3,10
,BC02,Dumbbell Curl,Tay trước,Dễ,3,10
"PULL-2 (Lưng, Xô, Tay trước)",,,,,,
,BL04,Dumbbell Row,Lưng - Xô,Khó,4,10
,BL09,Lat Pulldown,Lưng - Xô,Dễ,4,8
,BL06,Seated Cable Row,Lưng - Xô,Trung bình,3,12
,BL14,Close Grip Pulldown,Lưng - Xô,Dễ,3,12
,BC05,Dumbbell Preacher Curl,Tay trước,Trung bình,3,15
"PULL-3 (Lưng, Xô, Tay trước)",,,,,,
,BL01,Barbell Conventional Deadlift,Lưng - Xô,Khó,5,5
,BL05,Incline Dumbbell Row,Lưng - Xô,Khó,4,10
,BL11,Straight Arm Pulldown,Lưng - Xô,Dễ,4,12
,BL07,Face Pull,Lưng - Xô,Dễ,3,10
,BC02,Dumbbell Curl,Tay trước,Dễ,2,15
,BL13,Machine-assisted Pull-up,Lưng - Xô,Trung bình,3,Max
"PULL-4 (Lưng, Xô, Tay trước)",,,,,,
,BL02,Barbell Row,Lưng - Xô,Khó,4,10
,BL15,Machine High Row,Lưng - Xô,Dễ,4,10
,BL09,Lat Pulldown,Lưng - Xô,Dễ,4,10
,BL06,Seated Cable Row,Lưng - Xô,Trung bình,4,10
,BC04,Dumbbell Hammer Curl,Tay trước,Dễ,3,8
,BC02,Dumbbell Curl,Tay trước,Dễ,2,15