RBA1,Banded Core Rotation,Bụng,Trung bình,"Bước 1: Đứng thẳng, dây cáp lắp ở bên phải ngang eo.
Bước 2: Kéo dây cáp ra và giữ trước ngực bằng hai tay, gối hơi khuỵu. Dây cáp không chùn. Căng cơ bụng.
Bước 3: Giữ nguyên thư thế, đẩy dây cáp về phía trước ngực.
Bước 4: Dây cáp sẽ cố xoay người bạn sang bên đầu dây, nhưng hãy ghì chặt lại.
Bước 5: Quay trở lại tư thế ban đầu và lặp lại.",https://youtu.be/Q-j6MLgM4jo
RBA2,High To Low Wood Chops,Bụng,Trung bình,,https://youtu.be/2AvO-FyLiEY?t=35
RBA3,Banded Kneeling Crunch,Bụng,Trung bình,"Bước 1: Quỳ xuống phía trước cáp kéo.
Bước 2: Nắm dây cáp và hạ dây xuống cho tới khi tay bên cạnh mặt.
Bước 3: Hơi co hông và cho phép trọng lượng lan lưng dưới. Đây là vị trí ban đầu.
Bước 4: Giữ hông cố định, co eo trong khi siết bụng, khuỷu tay đi về phía giữa đùi. Thở ra trong khi thực hiện phần chuyển động này. Giữ ở tư thế co khoảng 1 giây.
Bước 5: Từ từ trở lại vị trí bạn đầu trong khi hít vào. Giữ cơ bụng siết trong khi thực hiện động tác. Đồng thời đừng chọn mức kéo nặng khiến cho lưng dưới phải chịu lực nhiều.
Bước 6: Lặp lại số lần yêu cầu.",https://youtu.be/imWlkp8w1I4?t=32
RBA4,Banded Pallof Press,Bụng,Trung bình,"Bước 1: Đứng vuông góc với một dây thun cột chặt vào trụ cố định với độ cao của dây thun ngang tầm vai.
Bước 2: Giữ dây bằng cả hai tay và kéo vào ngực sao cho dây thun phải căng.
Bước 3: Chân dang rộng bằng vai, cả chân, đầu gối và vai phải duy trì ngang hàng và thẳng phía trước trong suốt động tác.
Bước 4: Căng ngực, siết dây, đẩy tay xuống vụng bụng rồi dơ thẳng ra phía trước cách xa cơ thể, duỗi thẳng tay trong khi chống
Bước 5: lại lực xoắn hoặc xoay.
Bước 6: Tiếp tục hạ thấp xuống vùng bụng dưới và đảm bảo rằng vẫn duy trì được cơ thể đứng thẳng và chống lại lực kéo xoay người đi của dây chun.
Bước 7: Lặp lại số lần yêu cầu.",https://youtu.be/Y0e2w0aKOXw
RBA5,Low To High Wood Chops,Bụng,Trung bình,,https://youtu.be/kPugGvTvl1A?t=30
RBL1,Cable Hip Abduction,Chân,Trung bình,,
RBL2,Squat To Rows,Chân,Trung bình,,https://youtu.be/WGer5iQ6qRk
RBL3,Banded Lying Leg Press,Chân,Dễ,,https://youtu.be/qp_RtWjHsV8
RBL4,Banded Squat And Overhead Press,Chân,Trung bình,,
RBL5,Banded Squats,Chân,Dễ,,https://youtu.be/duP-UZsfOaQ
RBL6,Banded Lying Leg Curl,Chân,Dễ,,https://youtu.be/Ygy6sipH-BM?t=23
RBB1,Cable Shrugs,Lưng - Xô,Trung bình,,
RBB2,Cross Body Cable Rows,Lưng - Xô,Trung bình,,
RBB3,Banded Bent Over Rows,Lưng - Xô,Khó,,https://youtu.be/TE3v7CgXiiI?t=39
RBB4,Banded Seated Rows,Lưng - Xô,Trung bình,,https://youtu.be/sWZ4ZSe02dk
RBB5,Straight Arm Pulldown,Lưng - Xô,Dễ,,https://youtu.be/K4VAFznrNLk?t=29
RBB6,Close Grip Lat Pulldown,Lưng - Xô,Dễ,,https://youtu.be/3slLx-11z9k
RBH1,Cable Hip Extensions,Mông,Trung bình,,
RBH2,Banded Clam Shells,Mông,Trung bình,,
RBH3,Banded Deadlifts,Mông,Khó,,https://youtu.be/JqSk2ydDIkk
RBH4,Banded Glute Bridges,Mông,Khó,,https://youtu.be/GdSolgmyW68
RBH5,Banded Glute Kickbacks,Mông,Trung bình,,
RBH6,Banded Side Steps,Mông,Trung bình,,
RBH7,Banded Pull Through,Mông,Khó,"Bước 1: Đứng thẳng người, 2 chân rông bằng vai, bước qua dây tập
Bước 2: Cúi xuống, giữ thẳng lưng, 2 tay cầm dây thực hiện kéo dây lên, siết mông
Bước 3: Lặp lại số lần yêu cầu.",https://youtu.be/T3TFMFV5SSU
RCH1,Banded Chest Press,Ngực,Khó,,https://youtu.be/j3ccNPK-P4U
RCH2,Banded Push-ups,Ngực,Khó,,https://youtu.be/FJmNfxrOaPI?t=51
RCH3,Standing Chest Press,Ngực,Trung bình,,
RCH4,Standing Chest Fly,Ngực,Khó,,https://youtu.be/1076zKHV7AM?t=33
RTC1,Cable Rope Overhead Triceps Extensions,Tay sau,Trung bình,,
RTC2,Cable Tricep Kickbacks,Tay sau,Dễ,,
RTC3,Banded Tricep Kickbacks,Tay sau,Trung bình,,https://youtu.be/88ex10gjaGk?t=40
RTC4,Banded Tricep Overhead Extensions,Tay sau,Khó,,https://youtu.be/zhBNbr9dbFA?t=43
RTC5,Banded Tricep Pushdown,Tay sau,Dễ,,https://youtu.be/dzfxVf-IOSE?t=34
RBC1,Banded Bicep Hammer Curl,Tay trước,Dễ,,https://youtu.be/KIqRZEF_Aqg?t=42
RBC2,Banded Bicep Curl,Tay trước,Dễ,,https://youtu.be/PXLF19Oqe3M?t=37
RBC3,Cable Standing Bicep Curl,Tay trước,Trung bình,,
RBS1,Cable Upright Rows,Vai,Trung bình,,
RBS2,Banded External Shoulder Rotation,Vai,Dễ,,https://youtu.be/hWUtV-wxVQI?t=61
RBS3,Banded Face Pull,Vai,Dễ,,https://youtu.be/Wq-Td9UXRK8
RBS4,Banded Internal Cable Shoulder Rotation,Vai,Trung bình,,
RBS5,Banded Lateral Raises,Vai,Dễ,,https://youtu.be/ivk5wrpBp1A?t=37
RBS6,Banded Shoulder Front Raises,Vai,Dễ,,https://youtu.be/1lO0JTw9yNk?t=38
RBS7,Banded Shoulder Press,Vai,Trung bình,,https://youtu.be/JMZxrSRpGhw?t=56
BW01,Bodyweight Push-ups,Ngực,Trung bình,,
BW02,Bodyweight Squats,Chân,Dễ,,https://youtu.be/R1v152b72lo?t=61
BW03,Bodyweight Walking Lunges,Chân,Dễ,,https://youtu.be/GJUjZ9ypp-k?t=80
BW04,Bodyweight Shoulder Press,Vai,Dễ,,https://youtu.be/IEWmqrk_j2w?t=60